job_id,job_title,company_name,company_location,pay_range,job_level,employment_type,job_posted_date,industry
3987351408,Sr. Data Architect,CGI,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-07-31 13:46:09,IT Services and IT Consulting
3934159676,Data Architect,Zortech Solutions,"Edmonton, Alberta, Canada",,Mid-Senior level,Full-time,2024-06-15 13:46:10,Human Resources Services
3997931510,Data Architect,Coveo,Greater Montreal Metropolitan Area,,Mid-Senior level,Full-time,2024-08-12 13:46:11,Software Development
3929076279,Data Architect,Seven Hills Group Technologies Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-06-15 13:46:11,IT Services and IT Consulting
3994679540,Solutions Architect,Infotek Consulting Inc.,"Toronto, Ontario, Canada",,Director,Contract,2024-08-08 13:46:12,IT Services and IT Consulting
3845358612,Data Architect,TV2 Consulting,"Toronto, Ontario, Canada",,Associate,Full-time,2024-03-17 13:46:12,Non-profit Organizations and Primary and Secondary Education
3976926886,Data Governance Architect-Canada,Zortech Solutions,Canada,,Mid-Senior level,Full-time,2024-07-17 13:46:13,Human Resources Services
3926324556,Data Architect,Tiger Analytics,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-05-16 13:46:14,Non-profit Organizations and Primary and Secondary Education
3998811712,Data Architect,VOSKER,"Montreal, Quebec, Canada",,Mid-Senior level,Full-time,2024-08-13 23:46:15,Software Development
3928030100,"Data Architect - Toronto, ON Canada",Lorven Technologies Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-06-15 13:46:15,IT Services and IT Consulting
3987351408,Sr. Data Architect,CGI,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-07-31 13:46:17,IT Services and IT Consulting
3998811712,Data Architect,VOSKER,"Montreal, Quebec, Canada",,Mid-Senior level,Full-time,2024-08-13 23:46:18,Software Development
3994679540,Solutions Architect,Infotek Consulting Inc.,"Toronto, Ontario, Canada",,Director,Contract,2024-08-08 13:46:18,IT Services and IT Consulting
3845358612,Data Architect,TV2 Consulting,"Toronto, Ontario, Canada",,Associate,Full-time,2024-03-17 13:46:19,Non-profit Organizations and Primary and Secondary Education
3926324556,Data Architect,Tiger Analytics,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-05-16 13:46:19,Non-profit Organizations and Primary and Secondary Education
3889610787,Data Architect - Intermediate,Mindtris,"Edmonton, Alberta, Canada",,Mid-Senior level,Full-time,2024-04-16 13:46:20,IT Services and IT Consulting
3996481855,Data Architect,Randstad Digital,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-08-13 13:46:20,"IT Services and IT Consulting, Insurance, and Financial Services"
4000826405,Data Architect,Futran Solutions,"Greater Toronto Area, Canada",,Mid-Senior level,Contract,2024-08-14 02:46:21,Information Technology & Services
3991393615,Lead Data Architect,Hillsdale Investment Management Inc.,Canada,,Mid-Senior level,Full-time,2024-08-10 13:46:21,Financial Services
3982789330,UI Architect,Sophos,Canada,,Not Applicable,Full-time,2024-07-31 13:46:23,Software Development
3997931510,Data Architect,Coveo,Greater Montreal Metropolitan Area,,Mid-Senior level,Full-time,2024-08-12 13:46:25,Software Development
3929076279,Data Architect,Seven Hills Group Technologies Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-06-15 13:46:26,IT Services and IT Consulting
3994679540,Solutions Architect,Infotek Consulting Inc.,"Toronto, Ontario, Canada",,Director,Contract,2024-08-08 13:46:26,IT Services and IT Consulting
3845358612,Data Architect,TV2 Consulting,"Toronto, Ontario, Canada",,Associate,Full-time,2024-03-17 13:46:27,Non-profit Organizations and Primary and Secondary Education
3976926886,Data Governance Architect-Canada,Zortech Solutions,Canada,,Mid-Senior level,Full-time,2024-07-17 13:46:28,Human Resources Services
3926324556,Data Architect,Tiger Analytics,"Toronto, Ontario, Canada",,Mid-Senior level,Full-time,2024-05-16 13:46:29,Non-profit Organizations and Primary and Secondary Education
3998811712,Data Architect,VOSKER,"Montreal, Quebec, Canada",,Mid-Senior level,Full-time,2024-08-13 23:46:30,Software Development
3928030100,"Data Architect - Toronto, ON Canada",Lorven Technologies Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-06-15 13:46:30,IT Services and IT Consulting
3889610787,Data Architect - Intermediate,Mindtris,"Edmonton, Alberta, Canada",,Mid-Senior level,Full-time,2024-04-16 13:46:31,IT Services and IT Consulting
3996481855,Data Architect,Randstad Digital,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-08-13 13:46:32,"IT Services and IT Consulting, Insurance, and Financial Services"
3929076279,Data Architect,Seven Hills Group Technologies Inc.,"Toronto, Ontario, Canada",,Mid-Senior level,Contract,2024-06-15 13:46:34,IT Services and IT Consulting
3994679540,Solutions Architect,Infotek Consulting Inc.,"Toronto, Ontario, Canada",,Director,Contract,2024-08-08 13:46:34,IT Services and IT Consulting
3845358612,Data Architect,TV2 Consulting,"Toronto, Ontario, Canada",,Associate,Full-time,2024-03-17 13:46:37,Non-profit Organizations and Primary and Secondary Education
